prenoms;nombre;sexe;annee
Edgar;23;M;2004
Edouard;42;M;2004
Eglantine;9;F;2004
Elea;19;F;2004
Elena;6;F;2004
Elena;23;F;2004
Eleonore;9;F;2004
Eleonore;64;F;2004
Elia;16;F;2004
Eliane;6;F;2004
Elias;57;M;2004
Elie;35;M;2004
Elijah;7;M;2004
Eline;7;F;2004
Elio;6;M;2004
Eliot;37;M;2004
Eliott;52;M;2004
Elisa;88;F;2004
Elisabeth;20;F;2004
Elise;8;F;2004
Elise;62;F;2004
Ella;20;F;2004
Elliot;24;M;2004
Elliott;8;M;2004
Eloane;8;F;2004
Elodie;57;F;2004
Eloi;22;M;2004
Eloïse;43;F;2004
Elona;7;F;2004
Elouan;15;M;2004
Elsa;62;F;2004
Elvire;11;F;2004
Elya;6;F;2004
Elyes;15;M;2004
Ema;14;F;2004
Emeline;9;F;2004
Emile;36;M;2004
Emilie;8;F;2004
Emilie;102;F;2004
Emilien;9;M;2004
Emily;13;F;2004
Emma;265;F;2004
Emmanuel;37;M;2004
Emmanuelle;19;F;2004
Emmy;10;F;2004
Emy;6;F;2004
Enguerrand;7;M;2004
Enora;18;F;2004
Enzo;180;M;2004
Eric;21;M;2004
Erin;9;F;2004
Ernest;8;M;2004
Erwan;49;M;2004
Erwann;11;M;2004
Esteban;7;M;2004
Esteban;34;M;2004
Estelle;30;F;2004
Esther;35;F;2004
Ethan;102;M;2004
Ethel;7;F;2004
Etienne;43;M;2004
Eugène;7;M;2004
Eugenie;32;F;2004
Eulalie;7;F;2004
Eva;139;F;2004
Evan;28;M;2004
Evann;14;M;2004
Eve;31;F;2004
Ewan;11;M;2004
Ewen;13;M;2004
Eyal;12;M;2004
Eytan;7;M;2004
Fabien;16;M;2004
Fabio;8;M;2004
Fabrice;7;M;2004
Fanny;24;F;2004
Fanta;17;F;2004
Farah;17;F;2004
Fares;7;M;2004
Farès;11;M;2004
Fatima;15;F;2004
Fatou;16;F;2004
Fatoumata;56;F;2004
Faustine;21;F;2004
Felicie;8;F;2004
Felix;59;M;2004
Ferdinand;16;M;2004
Filipe;6;M;2004
Fiona;9;F;2004
Flavie;16;F;2004
Flavio;7;M;2004
Fleur;19;F;2004
Flora;24;F;2004
Flore;12;F;2004
Florence;6;F;2004
Florent;18;M;2004
Florian;52;M;2004
Franck;17;M;2004
François;34;M;2004
Frederic;11;M;2004
Gabin;23;M;2004
